"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","ppm","mzminexp","mzmaxexp","ppmexp"
"CP440",66.0004746449201,65.9997515969497,66.00066300114,1544.59000000002,1526.625,1562.55499999998,67827.5891982228,62359.8374107481,10475.6298828125,50,1,6.90452754464095,65.9991546354272,66.001794654413,39.9999999998469
"CP521",67.0208343699016,67.0203681190755,67.0211476349311,1781.12899999998,1745.199,1856.98399999998,454008.511901837,434732.334042082,6704.14453125,23,1,5.81547411976788,67.0194939532142,67.0221747865889,40.0000000000068
"CP076",71.0158167500592,71.0155728615576,71.0158948126184,518.58100000002,494.628,540.53800000002,1129696.16515934,1123968.42958368,54321.78125,306,1,2.26675602423789,71.0143964337242,71.0172370663942,39.9999999999777
"CP463",71.0158327064441,71.0154918970558,71.0159464413731,1539.6,1521.63499999998,1559.56099999998,1101021.81857293,1100408.17680169,88067.1328125,1220,1,3.20030266460224,71.01441238979,71.0172530230983,39.9999999999315
"CP428",72.0193708024547,72.0185872488516,72.0199128866518,1539.6,1530.618,1558.563,37543.8233607431,36888.0666716703,3115.1708984375,36,1,9.20334199957553,72.0179304150387,72.0208111898708,39.9999999999269
"CP041",72.0194302018523,72.0186424196053,72.0201105977135,519.57896875002,495.62599999998,535.548,44580.2178043612,44455.8388348232,2400.19873046875,85,1,10.1929306023789,72.0179898132483,72.0208705904564,39.99999999984
"CP448",73.0314541593827,73.0310359993955,73.0317260135568,1535.60800000002,1514.649,1556.56699999998,540640.077597532,521685.886263496,84836.0078125,326,1,4.72408888280176,73.0299935302995,73.0329147884659,39.999999999888
"CP092",74.0264482297941,74.0250052428694,74.028066556494,684.258,672.28099999998,697.233,9674.64377252729,9647.34402537985,1191.80310058594,68,1,20.6771613239334,74.0249677008295,74.028066556494,41.8614662534343
"CP233",74.0268284898598,74.0266768106166,74.0269893367928,816.999,816.999,836.96299999998,487597.344654002,484983.986576285,45800.3125,272,1,2.11089805214342,74.02534795329,74.0283090264296,39.9999999999097
"CP232",74.0268290075625,74.0266768106166,74.0269893367928,816.00100000002,802.02799999998,836.96299999998,963763.258943898,959407.911487757,57756.359375,272,1,2.11089803738097,74.0253484709823,74.0283095441426,39.9999999998707
"CP345",74.035033379091,74.0336713006142,74.0355996244202,1534.60999999998,1529.62000000002,1553.57299999998,16332.8910202594,16214.472810267,2827.47412109375,47,1,13.0230494804813,74.0335526784234,74.0365140797586,39.9999999998997
"CP102",76.0417124463454,76.0408573516822,76.0424209262036,685.25599999998,674.27800000002,695.23699999998,21448.796894576,21428.8359421951,2425.01245117188,2424,1,10.2810317591089,76.0401916120965,76.0432332805943,39.9999999998627
"CP035",83.0158107637502,83.0150899134541,83.0165821562459,518.58100000002,497.622,540.53800000002,62903.6480485708,62754.9804729776,3494.05786132812,104,1,8.98770233076759,83.0141504475349,83.0174710799655,39.9999999999267
"CP528",85.0315650474836,85.0311045680033,85.0318968424538,1777.137,1745.199,1859.97799999998,894738.711098401,877109.800582546,11950.79296875,48,1,4.65870791715185,85.0298644161826,85.0332656787845,39.9999999999815
"CP059",85.0317277974723,85.0315329595592,85.0319692903217,518.58100000002,496.62400000002,541.53700000002,150707.59982805,149327.612674295,7621.77001953125,80,1,2.56569385190941,85.0300271629163,85.0334284320282,39.9999999998991
"CP529",87.010642391575,87.0104186843673,87.011055644523,1765.15999999998,1737.21499999998,1794.10399999998,467670.721044296,455596.833739752,12406.1240234375,46,1,3.66024280623573,87.0089021787272,87.0123826044229,39.9999999999219
"CP439",87.0109360237173,87.0104511338957,87.0113323158071,1539.6,1524.62899999998,1558.563,96108.134292914,93081.068389666,7800.70166015625,40,1,5.06362735384619,87.0091958049968,87.0126762424378,39.9999999999213
